BinBase name,F_PAC_16_016,F_PAC_17_017,F_PAC_18_018,normF_PAC_16_016,normF_PAC_17_017,normF_PAC_18_018
378828,3813,3289,2478,5.888536990590973e-5,5.151057623013215e-5,3.80188479589448e-5
378287,9039,5213,10962,1.39592147542491e-4,8.164324532918179e-5,1.6818507317431513e-4
377751,1248,804,1305,1.927326033112388e-5,1.2591822222263987e-5,2.00220325207518e-5
377697,3561,4418,3937,5.499365387750972e-5,6.919237634074912e-5,6.040363374268187e-5
377474,5375,4118,2442,8.300783195496061e-5,6.449393521303868e-5,3.7466516027337854e-5
377073,485,427,416,7.490009022912726e-6,6.68744787177453e-6,6.382502320791379e-6
372460,1402,544,1202,2.165153123736833e-5,8.519839911581602e-6,1.8441749494209705e-5
372445,409,408,414,6.316316887363514e-6,6.389879933686202e-6,6.351817213479882e-6
371546,54701,41004,34430,8.447649145615442e-4,6.421829333354633e-4,5.282441223674211e-4
371280,1322,1171,618,2.0416065831527057e-5,1.8339581868496428e-5,9.481698159252578e-6
371262,264,244,241,4.077035839276205e-6,3.82139878387116e-6,3.69755543103539e-6
370223,2589,624,2173,3.998274919653824e-5,9.772757545637721e-6,3.333936909394151e-5
370160,4511,4069,4537,6.966480557187485e-5,6.37265231621793e-5,6.960916593613097e-5
362287,1507,1704,1650,2.3273079582535005e-5,2.6687145605395315e-5,2.5315213531985036e-5
362282,2349,2139,2103,3.6276352979014415e-5,3.3499885240575456e-5,3.226539033803911e-5
362184,860,799,833,1.3281253112793698e-5,1.251351487013548e-5,1.2780347195238506e-5
362181,4135119,2609771,4909447,0.06385995591921205,0.040872851334353366,0.07532345401755354
362105,301,277,171,4.648438589477795e-6,4.338227307919309e-6,2.6235766751329947e-6
362065,8481,8688,9433,1.309747763367481e-4,1.3606685505849442e-4,1.4472630863467567e-4
362022,1577,1488,1765,2.4354111812646118e-5,2.3304267993443794e-5,2.7079607202396114e-5
360846,1084,1252,1174,1.6740556249149266e-5,1.9608160972978246e-5,1.8012157991848746e-5
360154,14986,20572,31898,2.314335571492167e-4,3.2218776959753076e-4,4.893967765110659e-4
360146,170402,144328,162466,0.0026315722010770604,0.0022603887036006425,0.002492643322234837
357409,4805,2202,1148,7.420514093834154e-5,3.448655787739465e-5,1.7613251596799285e-5
357337,110328,77113,22141,0.0017038303411957014,0.0012077029689371178,3.3969948049192766e-4
357024,306,311,358,4.725655177342874e-6,4.870717302393159e-6,5.492634208757965e-6
356925,2366,1369,4047,3.653888937775569e-5,2.144055301278532e-5,6.20913146448142e-5
