BinBase name,F_SACT_1_001,F_SACT_2_002,F_SACT_3_003,normF_SACT_1_001,normF_SACT_2_002,normF_SACT_3_003
3-phenyllactic acid,3368,3235,3508,3.4330233504197936e-5,3.544524231605765e-5,3.5156948364454764e-5
3-hydroxybutyric acid,135925,24565,133635,0.0013854919801241402,2.6915374883893547e-4,0.0013392812983705567
3-hydroxy-3-methylglutaric acid,2510,1717,2265,2.5584586132879104e-5,1.881282258320587e-5,2.2699683023229773e-5
3-dehydroshikimic acid,1463,1542,1391,1.4912450004941087e-5,1.6895382890683433e-5,1.3940511737444863e-5
"3,6-anhydro-D-galactose",203588,208395,195700,0.002075185148056012,0.002283341969846935,0.001961292700947491
"3,4-dihydroxycinnamic acid",5093,3069,4011,5.191326580667461e-5,3.362641380772208e-5,4.019798172458041e-5
"3,4-dihydroxybenzoic acid",47613,46671,57323,4.853222707349692e-4,5.1136473079837e-4,5.744873862872407e-4
3-(4-hydroxyphenyl)propionic acid,2278,2449,2073,2.3219795701473544e-5,2.6833198897071158e-5,2.0775471482187778e-5
2-monoolein,25485,29370,24875,2.5977019027745974e-4,3.218011643964802e-4,2.492956358511438e-4
2-isopropylmalic acid,13657,13796,13076,1.392066505245936e-4,1.511599885602261e-4,1.3104682349304747e-4
2-hydroxyglutaric acid,9207,8285,7571,9.384752371530594e-5,9.077707344313375e-5,7.587607071473404e-5
2-deoxytetronic acid,2803,2841,2820,2.8571153358749055e-5,3.1128263808321424e-5,2.8261857009054288e-5
2-deoxyerythritol,35124,73246,58411,3.580211168650381e-4,8.02541644105706e-4,5.853912516864787e-4
"2,3-dihydroxypyridine",2055,1302,1280,2.0946742829906994e-5,1.4265751312366944e-5,1.282807694027996e-5
"2,3-dihydroxybutanoic acid NIST",1305,1181,1025,1.3301946176656266e-5,1.2939978724965716e-5,1.0272483487333563e-5
1-monostearin,7538,6575,8049,7.683530289627198e-5,7.204094844762878e-5,8.066655569711985e-5
1-monopalmitin,1932,1594,914,1.9692996178773874e-5,1.7465136399318672e-5,9.16004869016866e-6
1-methylinosine NIST,2359,2477,2140,2.4045433740024624e-5,2.7139989247874747e-5,2.144694113453056e-5
1-methyladenosine,7426,8034,6682,7.569367992938654e-5,8.802691708414442e-5,6.696657040230523e-5
1-kestose,479,270,225,4.882476795876132e-6,2.9583355256060484e-6,2.2549353996585867e-6
1-deoxyerythritol,71530,43818,28346,7.291097394760327e-4,4.801049854111327e-4,2.8408177261654354e-4
519282,3499,4990,3550,3.566552465296573e-5,5.467442323249697e-5,3.55778696390577e-5
519270,12683,11027,8979,1.2927860793757198e-4,1.2082061422539961e-4,8.9986955349042e-5
519264,14465,3159,9757,1.4744264478569572e-4,3.461252564959077e-5,9.778402086430591e-5
519261,16314,17846,14985,1.6628961680150984e-4,1.9553502144431683e-4,1.501786976172619e-4
519249,12023,12602,10399,1.2255118688271133e-4,1.3807757145810156e-4,1.0421810320466508e-4
519244,105746,65367,62820,0.0010778755558595353,7.162130307492243e-4,6.295779635846774e-4
513995,23552,9517,20506,2.4006700103648153e-4,1.0427584887849171e-4,2.055098013573288e-4
513551,303,308,343,3.0884978479132943e-6,3.3746938588394923e-6,3.4375237425906455e-6
511927,232,260,218,2.3647904314055584e-6,2.848767543176195e-6,2.1847818538914306e-6
509528,75483,72149,61865,7.694029143697663e-4,7.905220364331511e-4,6.200070155550154e-4
486482,1586,903,865,1.6166196656074208e-5,9.893988813415784e-6,8.668973869798566e-6
486432,4245,2161,3850,4.3269549057399124e-5,2.3677641003091373e-5,3.8584450171935816e-5
480022,1697,1695,1539,1.7297626560755313e-5,1.8571773021860193e-5,1.5423758133664735e-5
475884,339,867,1222,3.455448087269329e-6,9.499544076668311e-6,1.2246804703923524e-5
475793,15303,14905,15670,1.5598443091292786e-4,1.6331107781169686e-4,1.5704372316733357e-4
474908,3625,743,1079,3.6949850490711855e-5,8.140901094538126e-6,1.0813667983251623e-5
474901,35878,10258,4980,3.6570668576710617e-4,1.1239483637654388e-4,4.990923684577672e-5
472871,295663,62095,178118,0.0030137113505200935,6.803623868981763e-4,0.001785087037850614
425117,4658,4855,3651,4.747928374778919e-5,5.3195255469693944e-5,3.659008508512667e-5
418204,68696,22529,17023,7.002226011889493e-4,2.468457076162173e-4,1.7060340137061388e-4
417918,2308,2666,3167,2.3525587567603573e-5,2.9210824115798983e-5,3.1739468492083305e-5
414322,451,383,428,4.597071054154771e-6,4.196453727063394e-6,4.289388226906112e-6
408463,435080,175260,469296,0.004434797503861769,0.001920288460065615,0.004703254059191894
408457,1437,1330,1764,1.4647430387628394e-5,1.4572541663170535e-5,1.767869353332332e-5
406896,6211,10720,3520,6.330910935112036e-5,1.1745687716480311e-4,3.527721158576989e-5
404202,3216,10186,6973,3.278088804913912e-5,1.1160594690304893e-4,6.9882953519197e-5
403831,4019,3700,2834,4.096591699921957e-5,4.0540153499045846e-5,2.84021641005886e-5
