BinBase name,F_SAT_4_004,F_SAT_5_005,F_SAT_6_006,normF_SAT_4_004,normF_SAT_5_005,normF_SAT_6_006
386842,110,104,115,1.067854338144658e-6,9.80791722238577e-7,9.529087809839844e-7
386187,374,258,356,3.6307047496918366e-6,2.433117926322624e-6,2.9498741393938993e-6
385941,27787,28003,41171,2.69749713582051e-4,2.640876019023738e-4,3.411496297555793e-4
384976,8250,6136,5904,8.008907536084934e-5,5.786671161207605e-5,4.8921508199386464e-5
384941,14117,9576,11377,1.3704454265080123e-4,9.030828396304437e-5,9.427168001091122e-5
384919,607,535,476,5.89261439321643e-6,5.045418955746527e-6,3.944213736942405e-6
384908,3655,2205,2887,3.548188732653386e-5,2.0794670649385216e-5,2.392215348435446e-5
384907,484,347,418,4.698559087836495e-6,3.27244930400756e-6,3.4636162647939607e-6
384906,42849,30120,37082,4.1596809577418585e-4,2.84052371863711e-4,3.07267507969114e-4
384897,513,487,575,4.980084322438268e-6,4.592745853174875e-6,4.764543904919922e-6
384838,1052,814,941,1.021257057934709e-5,7.676581364444249e-6,7.797279677442863e-6
382960,55344,39153,44217,5.372666408207086e-4,3.6923979135391354e-4,3.6638928320668554e-4
382944,120,2397,592,1.1649320052487177e-6,2.2605363059671822e-5,4.905408681239294e-6
382905,4973,3683,2218,4.827672385084894e-5,3.473322993273731e-5,1.8378710228021542e-5
382601,3751,2676,4251,3.6413832930732834e-5,2.523652546836954e-5,3.52244802431558e-5
381214,8626,7119,7346,8.373919564396199e-5,6.713707952515799e-5,6.087015569659434e-5
380761,1338,705,806,1.2988991858523202e-5,6.648636194021124e-6,6.678647630200795e-6
380017,22767,17398,24199,2.2101672469581295e-4,1.6407513830294968e-4,2.0051686600896902e-4
379842,1836,1323,1909,1.782345968030538e-5,1.247680238963113e-5,1.5818285764334142e-5
379014,2660,2394,2172,2.582265944967991e-5,2.257707099076109e-5,1.799754671562795e-5
378986,6532,4870,5645,6.341113215237187e-5,4.592745853174875e-5,4.6775391901344274e-5
378843,562,345,389,5.455764891248161e-6,3.2535879247337413e-6,3.2233175287197385e-6
378828,67542,42256,51471,6.556819791542407e-4,3.985032212972434e-4,4.264971118784927e-4
378287,32084,37133,55747,3.114639871366655e-4,3.5018979828735656e-4,4.619287462044711e-4
377751,1336,2395,5597,1.296957632510239e-5,2.2586501680398003e-5,4.6377656062324875e-5
377697,17754,16059,19774,1.7235169017654778e-4,1.5144744487912798e-4,1.638505933493679e-4
377474,11053,8806,6373,1.072999454501173e-4,8.304665294262414e-5,5.280771879313854e-5
377073,3167,2551,2988,3.074449717185574e-5,2.4057689263755867e-5,2.4759055978957785e-5
372460,235,203,411,2.2813251769454056e-6,1.9144299962926073e-6,3.405613121603631e-6
372445,5874,4005,5236,5.702342165692473e-5,3.776991199582213e-5,4.3386351106366455e-5
371546,52442,41164,42040,5.090947018271104e-4,3.8820490821373833e-4,3.483503056744931e-4
371280,16603,13114,14963,1.611780506928705e-4,1.236740638984298e-4,1.2398586165098574e-4
371262,980,778,598,9.51361137619786e-6,7.33707653751551e-6,4.955125661116719e-6
370223,13923,8272,8576,1.3516123590898247e-4,7.801066467651452e-5,7.106213657146652e-5
370160,9195,7880,8678,8.926291490218299e-5,7.431383433884604e-5,7.190732522938275e-5
362287,5125,4208,4543,4.975230439083065e-5,3.968434199211474e-5,3.7644039930523834e-5
362282,2196,1145,1877,2.1318255696051533e-5,1.0798139634261258e-5,1.5553128538321207e-5
