BinBase name,L1_SF_907,L2_SF_907,L3_SF_907,normL1_SF_907,normL2_SF_907,normL3_SF_907
521666,4006,2697,1770,1.602332355937262e-5,1.1175490324016416e-5,7.650427404093755e-6
520868,11420,23946,3452,4.567807165452703e-5,9.92244313306997e-5,1.4920494575667597e-5
520865,6837,3451,5425,2.7346845525569294e-5,1.4299820952236058e-5,2.3448343879778883e-5
520862,3952,2463,3542,1.580733267764368e-5,1.0205870473879284e-5,1.53094993589266e-5
520631,44318,53617,34992,1.7726451660116717e-4,2.221713995931732e-4,1.5124505973110097e-4
519942,7728,5959,9055,3.091069507409675e-5,2.4692156781910944e-5,3.91382034712254e-5
519090,80839,82301,63530,3.2334234977936173e-4,3.410285610518632e-4,2.7459415422716177e-4
517908,20726,18521,17714,8.29005002724805e-5,7.674499677089656e-5,7.656478589611118e-5
517902,1570,425,2629,6.279734894711685e-6,1.7610616936251302e-6,1.1363261946532476e-5
514161,2741,1943,3255,1.0963537163315114e-5,8.051159695796773e-6,1.4069006327867331e-5
513579,4470,5028,4568,1.7879245209784223e-5,2.08343957542286e-5,1.9744153888079254e-5
511804,1154,819,903,4.615805139170245e-6,3.393669475479957e-6,3.903014658698679e-6
511719,73010,33304,51448,2.92027671759809e-4,1.3800093798703846e-4,2.2237242321232516e-4
509844,129022,72298,30382,5.160662137487204e-4,2.995793842957875e-4,1.3131937027750085e-4
488159,591,495,517,2.363900205588921e-6,2.0511189137516223e-6,2.2346163660545036e-6
486463,7969,9250,6730,3.187465437959071e-5,3.8328989802429305e-5,2.908891323703445e-5
476084,2551,2456,3409,1.0203569246120705e-5,1.0176864751866635e-5,1.4734636734777183e-5
474821,31588,25023,24257,1.2634666614914184e-4,1.0368716884607444e-4,1.0484543363904082e-4
474672,82310,69960,21631,3.2922610139090366e-4,2.898914731435626e-4,9.349513851861697e-5
474251,14689,9702,4486,5.8753519661413976e-5,4.02019307095318e-5,1.9389727307776603e-5
474221,73686,48095,40387,2.947315576125638e-4,1.9929002859976622e-4,1.745637353497935e-4
474043,41549,51773,11362,1.6618898416584444e-4,2.1453046368012676e-4,4.910969274876455e-5
425777,12841,7872,5217,5.1361831708912575e-5,3.2619006240510645e-5,2.254931060291363e-5
425770,19217,13250,11417,7.686475507749965e-5,5.490368809537171e-5,4.93474178940895e-5
425127,2142,1532,1420,8.567638308581165e-6,6.34810944619694e-6,6.137631024753183e-6
422265,237217,227107,61301,9.488279442795043e-4,9.410575013038176e-4,2.649598024284471e-4
421543,14406,8757,18355,5.762156744790862e-5,3.6286158237824155e-5,7.93353644079892e-5
417901,5726,23208,21567,2.290303312555357e-5,9.616639949565182e-5,9.321851289496612e-5
417820,4422,8000,2024,1.7687253314914057e-5,3.31493965858848e-5,8.748285347958058e-6
417688,6139,3548,2558,2.4554963387665628e-5,1.470175738583991e-5,1.1056380395294818e-5
412153,1058,1427,1338,4.2318213494299125e-6,5.913023616007202e-6,5.783204444450534e-6
407336,237217,22894,18384,9.488279442795043e-4,9.486528567965584e-5,7.946071039370599e-5
406926,2024,1692,314,8.095658233692007e-6,7.011097377914636e-6,1.3571944660369714e-6
406851,325015,331647,5460,0.001300005118983897,0.0013742372411898673,2.359962351771294e-5
406846,143527,136761,374999,5.740837644797988e-4,5.66693078310274e-4,0.001620848941303816
405282,11145,7870,10901,4.4578118090166707e-5,3.261071889136418e-5,4.7117123803404536e-5
