BinBase name,L1_PAC_440,L2_PAC_440,L3_PAC_440,normL1_PAC_440,normL2_PAC_440,normL3_PAC_440
588382,27349,33756,34808,1.1151580846371918e-4,1.403762114070734e-4,1.4286115682552299e-4
588380,101363,16054,1358,4.133085997041196e-4,6.676145567985414e-5,5.573587996123311e-6
588375,16906,15329,1995,6.893437631678074e-5,6.374650268571597e-5,8.188002983995585e-6
588374,44340,30881,2557,1.8079677309156854e-4,1.284203633268703e-4,1.0494598310815395e-5
588356,2647,1557,NA,1.0793167757631528e-5,6.474871464652604e-6,NA
562527,24362,25445,NA,9.93362874618131e-5,1.0581445370461496e-4,NA
554665,953,1247,NA,3.885866593510709e-6,5.18571914991766e-6,NA
553510,13263,17178,NA,5.408000905533319e-5,7.143567245973182e-5,NA
553483,47683,49930,33713,1.9442788749042092e-4,2.076366937894056e-4,1.3836698977415699e-4
553440,19702,12224,NA,8.033509299616788e-5,5.083418675909661e-5,NA
553439,10367,5159,NA,4.227154142174766e-5,2.1453989650701852e-5,NA
553386,132411,100142,99718,5.399071159636374e-4,4.164461003296346e-4,4.092688128110636e-4
553359,26395,22467,3336,1.0762586436066648e-4,9.343027437145153e-5,1.3691818523613671e-5
553345,22722,18887,NA,9.264917181295942e-5,7.854264441418993e-5,NA
553344,101640,79495,71717,4.144380698472492e-4,3.3058439761243335e-4,2.943453684226624e-4
553268,32885,30339,8992,1.3408890128814235e-4,1.2616642605401115e-4,3.6905525229116947e-005
553263,59747,53867,49283,2.4361896260491534e-4,2.240089281865394e-4,2.0227035140864884e-4
550987,13011,12072,NA,5.3052476650753236e-5,5.020208626929109e-5,NA
545358,5042450,3967210,6075906,0.020560637989976992,0.01649786436948263,0.02493711100675523
545069,24693,106086,24728,1.0068594312020979e-4,4.4116455632571365e-4,1.014901943800716e-4
544748,6515903,7193521,7634832,0.026568656657141875,0.0299146588653046,0.03133535197910024
544707,1038,1252,NA,4.232454904579345e-6,5.206511929187578e-6,NA
544105,23472,16818,NA,9.570730396944739e-5,6.993859235229769e-5,NA
544078,4028,2958,NA,1.642420843511137e-5,1.2301008216083753e-5,NA
544032,3762,9738,NA,1.5339590896943636e-5,4.0496016906093163e-5,NA
541377,97366,112603,70514,3.970107940648097e-4,4.682658648261253e-4,2.894079410593808e-4
540580,4075,3200,NA,1.6615851383584614e-5,1.3307378732747805e-5,NA
539711,6824,1611,NA,2.7824925114498506e-5,6.699433480767723e-6,NA
539702,3599,5625,NA,1.4674956841600253e-5,2.339187667865825e-5,NA
539604,3416,3660,NA,1.3928772595417188e-5,1.5220314425580302e-5,NA
534660,1437,1323,NA,5.859381211830943e-6,5.50176939482042e-6,NA
524550,2202,1376,NA,8.978676011448669e-6,5.722172855081556e-6,NA
521677,34458,45769,7348,1.4050282379768312e-4,1.9033294288097946e-4,3.01581182588469e-5
521666,2459,2620,NA,1.0026595963738544e-5,1.0895416337437265e-5,NA
520868,54980,8397,23837,2.2418147461827784e-4,3.491939350590104e-5,9.783329680676831e-5
520865,5408,5773,NA,2.2051171603049227e-5,2.4007342945047837e-5,NA
520862,3095,2210,NA,1.261989203244034e-5,9.190408437303952e-6,NA
520631,63526,44917,37326,2.590278711640727e-4,1.8678985329338536e-4,1.531956889125911e-4
519942,3334,2967,NA,1.3594416812974505e-5,1.2338435218769606e-5,NA
519090,80363,76488,63465,3.2768089932245657e-4,3.180796201595044e-4,2.604769971825964e-4
517908,9356,9139,NA,3.814917927480188e-5,3.800504194955693e-5,NA
517902,4164,7608,NA,1.6978749732821188e-5,3.1638292937107904e-5,NA
514161,252,961,NA,1.0275324045799566e-6,3.996372175678325e-6,NA
513579,5065,4412,NA,2.065258583014873e-5,1.8347548427776034e-5,NA
511804,285,264,NA,1.162090219465427e-6,1.097858745451694e-6,NA
511719,45167,58591,36847,1.841688734827893e-4,2.4365394604075833e-4,1.5122974734400267e-4
