BinBase name,L1_PF_907,L2_PF_907,L3_PF_907,normL1_PF_907,normL2_PF_907,normL3_PF_907
554665,1388,1360,780,4.845266789081564e-6,5.240574163624882e-6,3.0954881787453614e-6
553510,25297,15583,19100,8.830743080936334e-5,6.004696117041658e-5,7.579977463338001e-5
553483,49353,46694,53895,1.7228274628353202e-4,1.7992894852669137e-4,2.1388632742754007e-4
553440,41608,27008,26015,1.4524629723350557e-4,1.040716375082212e-4,1.0324246791033407e-4
553439,16696,11518,13718,5.828283451765547e-5,4.438303912987603e-5,5.444090620003701e-5
553386,257303,152070,171687,8.982000580915373e-4,5.859809654870852e-4,6.813526653131472e-4
553359,55600,37904,41927,1.9408993766061597e-4,1.4605788463090998e-4,1.6639042675673944e-4
553345,42758,28171,32508,1.4926074738296074e-4,1.0855309909079159e-4,1.2901042271109514e-4
553344,208485,126594,136443,7.277849038340561e-4,4.878126806396532e-4,5.414842225289145e-4
553268,71122,45299,44858,2.4827454219961023e-4,1.7455350664562027e-4,1.7802231887456338e-4
553263,138348,96704,87052,4.8294882545810966e-4,3.7263564994057403e-4,3.454723550463349e-4
550987,17998,11278,12253,6.282789025208212e-5,4.345823192453046e-5,4.862694442841912e-5
545358,19414779,6422713,1106707,0.06777361952886037,0.02474904691777769,0.004392049276711209
545069,1855,8664,10047,6.475482632382062e-6,3.338554011297499e-5,3.9872268886993136e-5
544748,5314177,6134104,7138659,0.018550868392940272,0.023636931573079445,0.028330300700761774
544707,1117,1233,1014,3.899252884296907e-6,4.7511970174628535e-6,4.02413463236897e-6
544105,63727,77473,55832,2.2245988232550491e-4,2.985316192489048e-4,2.215734564047577e-4
544078,2464,3607,8387,8.601395798484852e-6,1.3899081623672758e-5,3.32844350706889e-5
544032,1417,1378,1369,4.946500749372173e-6,5.3099347040258e-6,5.432978611156923e-6
541377,72929,71107,102986,2.5458246517358026e-4,2.740011081271136e-4,4.0870762253367924e-4
540580,31986,20863,19472,1.1165756737432487e-4,8.039271968801906e-5,7.727608438016625e-5
539711,4034,9900,10716,1.408199295904541e-5,3.814829722050466e-5,4.25272452864555e-5
539702,16569,11466,6819,5.783949958810694e-5,4.418266423538449e-5,2.70617101164931e-5
539604,5741,5845,4696,2.0040833311323673e-5,2.2522908813520176e-5,1.863642626588233e-5
534660,1445,2643,1758,5.0442438834458646e-6,1.0184439348868062e-5,6.976754125941469e-6
524550,3016,4088,1359,1.052833187022334e-5,1.5752549397719502e-5,5.393292865275572e-6
521677,6283,20606,15139,2.193286112089299e-5,7.940240530562818e-5,6.0080250689776955e-5
521666,851,3954,1682,2.970693110596838e-6,1.5236198708068225e-5,6.675142457243203e-6
520868,126837,75647,90987,4.427659248751717e-4,2.9149537776156727e-4,3.610886960506464e-4
520865,8361,11535,10578,2.9186797999647662e-5,4.444854630692134e-5,4.1979581993292866e-5
520862,3704,3617,3377,1.2930020307462617e-5,1.3937615257228823e-5,1.3401876384132161e-5
520631,109213,81211,92291,3.8124360362821677e-4,3.1293549147216204e-4,3.6626371731357456e-4
519942,352,227,321,1.2287708283549789e-6,8.747134817226826e-7,1.2739124427913602e-6
519090,155311,110454,120999,5.421637105756821e-4,4.256193960801638e-4,4.801935565897564e-4
517908,19618,22239,15170,6.848302872348857e-5,8.569494766533365e-5,6.020327650200915e-5
517902,5650,9510,10057,1.9723168125584178e-5,3.664548551181811e-5,3.9911954632874484e-5
514161,746,557,364,2.604156357820495e-6,2.1463233890728378e-6,1.4445611500811686e-6
513579,2160,3421,1629,7.5401846285419156e-6,1.3182356039529944e-5,6.464808004072043e-6
511804,683,578,409,2.384234306154689e-6,2.2272440195405753e-6,1.6231470065472473e-6
511719,12659,14595,14703,4.4190369079959305e-5,5.6239838175077326e-5,5.8349952169350066e-5
509844,139837,97363,91522,4.881466656950999e-4,3.751750163919187e-4,3.6321188345529867e-4
488159,458,271,468,1.5987984073482395e-6,1.04426146936937e-6,1.857292907247217e-6
486463,18868,15246,93,6.58649090608004e-5,5.8748377719577174e-5,3.6907743669656235e-7
476084,1309,1204,1562,4.5694915179450775e-6,4.6394494801502636e-6,6.198913506666993e-6
474821,21572,6931,13085,7.530410315134547e-5,2.670766141770887e-5,5.192879848574751e-5
474672,146971,107565,112776,5.130502199265898e-4,4.144870293458165e-4,4.4755996775152165e-4
474251,5955,11683,10007,2.078787012174403e-5,4.50188440835511e-5,3.971352590346773e-5
474221,52769,64584,86647,1.842074086405224e-4,2.4886561895849223e-4,3.4386508233814016e-4
474043,5681,23238,24571,1.983138373830862e-5,8.954445765758458e-5,9.751184620506702e-5
425777,1668,1479,780,5.822698129818479e-6,5.69912440294206e-6,3.0954881787453614e-6
425770,41960,33188,39162,1.4647506806186053e-4,1.2788542304586958e-4,1.5541731802054597e-4
425127,4334,2870,4630,1.5129240824120676e-5,1.1059152830590745e-5,1.8374500343065415e-5
422265,149294,120404,219853,5.211594092284892e-4,4.639603614684488e-4,8.725030289252614e-4
421543,5024,6743,2148,1.7537910913793788e-5,2.598322910685484e-5,8.52449821531415e-6
417901,23941,25188,26854,8.357387045922314e-5,9.70585162010173e-5,1.0657210198977941e-4
417820,6748,4656,5681,2.355609531175965e-5,1.794125978370401e-5,2.2545472235195384e-5
417688,2349,7269,5827,8.199950783539333e-6,2.8010098231903878e-5,2.3124884125063102e-5
412153,3567,4487,4537,1.2451777115744913e-5,1.7290041376606506e-5,1.800542290636885e-5
407336,59162,98564,41453,2.065242606452763e-4,3.7980290578200213e-4,1.645093224019634e-4
406926,2546,2306,1739,8.887643548272091e-6,8.885855898028662e-6,6.901351208766902e-6
406851,236683,170791,230123,8.262192214986973e-4,6.581197808673951e-4,9.132602899454088e-4
406846,85910,122721,77177,2.99896880295387e-4,4.728886043633891e-4,3.0628268098850095e-4
405282,7848,11981,15541,2.739600415036896e-5,4.6167146363521855e-5,6.167561767420725e-5
