BinBase name,L1_SF_748,L2_SF_748,L3_SF_748,normL1_SF_748,normL2_SF_748,normL3_SF_748
1-monopalmitin,3023,3149,3258,1.2503002705909524e-5,1.2992838552865482e-5,1.276420928879248e-5
1-kestose,5835,2820,10000,2.413331815712275e-5,1.1635377808536253e-5,3.91780518379143e-5
588382,217382,135868,179467,8.990829421819464e-4,5.605941532234764e-4,7.031167429194966e-4
588380,343423,363121,386968,0.001420383294168563,0.0014982446897920186,0.0015160652363614023
588375,13394,11962,5537,5.539702885972615e-5,4.935545721479101e-5,2.169288730265315e-5
588374,155471,189800,167147,6.430216122032615e-4,7.831186908014825e-4,6.548493830551862e-4
588356,14351,13132,15334,5.9355141195007465e-5,5.418290119918371e-5,6.007562468825779e-5
562527,23863,22062,18202,9.869637895174296e-5,9.102826425954851e-5,7.131188995537161e-5
554665,1543,1824,2232,6.381784047376247e-6,7.525861391053236e-6,8.744541170222473e-6
553510,12114,15379,13631,5.010300191180548e-5,6.345406926151739e-5,5.340360246026099e-5
553483,59388,62065,69238,2.456263065493069e-4,2.5608146230028455e-4,2.712609953153511e-4
553440,12302,14974,11966,5.088056211978133e-5,6.17830309592276e-5,4.6880456829248256e-5
553439,9688,7831,9873,4.0069166462074585e-5,3.2310866531435244e-5,3.868049057957279e-5
553386,101084,107691,112636,4.180792343778228e-4,4.4433527360960196e-4,4.4128590468153154e-4
553359,21471,22957,23358,8.88031660928162e-5,9.472105260658396e-5,9.151209348300023e-5
553345,16358,19155,18725,6.765601001100496e-5,7.903392266755742e-5,7.336090206649453e-5
553344,88589,75954,88076,3.664004322573003e-4,3.1338776101757533e-4,3.45064609367614e-4
553268,25128,26252,28641,1.0392836652136768e-4,1.0831629015237364e-4,1.1220985826897036e-4
553263,41586,49948,38694,1.7199797238767894e-4,2.0608647190807402e-4,1.515955537816256e-4
550987,14148,16698,13136,5.8515541608735675e-5,6.889629030033275e-5,5.146428889428423e-5
545358,3152693,3895195,3353370,0.013039407578531927,0.01607165441947566,0.01313785036917067
545069,193366,248093,466171,7.997537615715848e-4,0.001023636803777725,0.001826367160333235
544748,7050387,8041066,9453347,0.02916010841505436,0.03317760315367921,0.03703637188077916
544707,1113,1074,1046,4.603321869559147e-6,4.43134601644253e-6,4.0980242222458365e-6
544105,16389,8366,12682,6.778422472614991e-5,3.451828749865755e-5,4.968560534084292e-5
544078,17199,19724,18098,7.113435115413096e-5,8.138162833176207e-5,7.09044382162573e-5
544032,10584,11407,13868,4.3774985325619054e-5,4.706551583757909e-5,5.4332122288819554e-5
541377,89020,41322,141911,3.6818303039367044e-4,1.7049541907955142e-4,5.559796514370257e-4
540580,3207,2641,2483,1.326401907967312e-5,1.0896820139129163e-5,9.727910271354121e-6
539711,1032,10352,1963,4.268309226761042e-6,4.271256421062669e-5,7.690651575782577e-6
539702,2932,3459,3938,1.2126630477580788e-5,1.4271904907704573e-5,1.5428316813770654e-5
539604,3812,5162,4991,1.576627400427625e-5,2.1298517818320613e-5,1.955376567230303e-5
534660,1220,1430,1103,5.04586943473689e-6,5.900209314257745e-6,4.321339117721947e-6
524550,883,545,884,3.652051402354651e-6,2.2486811722171124e-6,3.4633397824716246e-6
521677,31048,37931,47344,1.2841324115550078e-4,1.5650408356581154e-4,1.854845686214215e-4
521666,3055,2481,3418,1.263535337960754e-5,1.0236656859212213e-5,1.3391058118199109e-5
520868,12635,10550,6683,5.225783631795132e-5,4.352951626952392e-5,2.618269204327813e-5
520865,4337,4590,4934,1.7937652244634338e-5,1.8938434092617518e-5,1.9330450776826917e-5
520862,2514,2817,3360,1.0397799802400445e-5,1.1622999747037809e-5,1.3163825417539205e-5
520631,53661,68937,52179,2.2193967191591496e-4,2.844354751727176e-4,2.0442715668505303e-4
519942,9437,7511,9122,3.9031040865255766e-5,3.099053997160134e-5,3.573821888654543e-5
519090,60049,72060,70037,2.4836017515288155e-4,2.9732103719259657e-4,2.743913216572004e-4
517908,23224,21802,26572,9.605350143633569e-5,8.995549892968346e-5,1.0410391934370589e-4
517902,1461,394,447,6.042635446025079e-6,1.6256520767954905e-6,1.7512589171547695e-6
514161,2564,2879,2401,1.0604597730053596e-5,1.1878813018005628e-5,9.406650246283224e-6
513579,4085,5001,7357,1.6895390689262456e-5,2.0634228517904184e-5,2.8823292737153554e-5
511804,864,886,972,3.5734681898464534e-6,3.655654162540113e-6,3.8081066386452703e-6
511719,43005,50200,62252,1.7786689757447538e-4,2.071262290739432e-4,2.4389120830138413e-4
